Student;Event name;Date;att1;att2;att3;att4;att5;att6;att7
37496;viewed the course;10/06/2015 13:32;Curso;Fundamentos de informática (2015-2016);;;;;
37496;viewed the section of the course;10/06/2015 13:33;Curso;Fundamentos de informática (2015-2016);;;;1;
37496;viewed the resource activity;10/06/2015 13:33;Archivo;Práctica 1.;;;;;456390
37496;has viewed the submission status page for the assignment;10/06/2015 13:39;Tarea;Entrega práctica 1. (Prueba de entrega. No evaluable);;;;;476729
37496;viewed the section of the course;10/06/2015 13:39;Curso;Fundamentos de informática (2015-2016);;;;1;
37496;viewed the section of the course;10/06/2015 13:39;Curso;Fundamentos de informática (2015-2016);;;;1;
37496;viewed the resource activity;10/06/2015 13:39;Archivo;Presentación;;;;;456380
37496;viewed the section of the course;10/06/2015 13:43;Curso;Fundamentos de informática (2015-2016);;;;3;
37496;viewed the resource activity;10/06/2015 13:44;Archivo;Lección 1. Conceptos básicos programación.;;;;;456430
37496;viewed the course;10/07/2015 14:31;Curso;Fundamentos de informática (2015-2016);;;;;
37496;viewed the course;10/07/2015 20:41;Curso;Fundamentos de informática (2015-2016);;;;;
37496;has viewed the submission status page for the assignment;10/07/2015 22:58;Tarea;Entrega práctica 1. (Prueba de entrega. No evaluable);;;;;476729
37496;viewed the section of the course;10/07/2015 22:58;Curso;Fundamentos de informática (2015-2016);;;;1;
37496;viewed the course;10/07/2015 22:58;Curso;Fundamentos de informática (2015-2016);;;;;
37496;viewed the section of the course;10/07/2015 23:00;Curso;Fundamentos de informática (2015-2016);;;;1;
37496;viewed the resource activity;10/07/2015 23:00;Archivo;Práctica 1.;;;;;456390
37496;viewed the section of the course;10/07/2015 23:06;Curso;Fundamentos de informática (2015-2016);;;;1;
37496;viewed the resource activity;10/07/2015 23:06;Archivo;Práctica 2. Esquemas de composición algorítmica  I;;;;;456392
37496;viewed the section of the course;10/8/2015 10:43;Curso;Fundamentos de informática (2015-2016);;;;1;
37496;viewed the course;10/8/2015 10:43;Curso;Fundamentos de informática (2015-2016);;;;;
37496;viewed the resource activity;10/8/2015 10:44;Archivo;Práctica 1.;;;;;456390
37496;viewed the course;10/14/2015 01:01;Curso;Fundamentos de informática (2015-2016);;;;;
37496;viewed the course;10/14/2015 01:01;Curso;Fundamentos de informática (2015-2016);;;;;
37496;viewed the section of the course;10/14/2015 01:02;Curso;Fundamentos de informática (2015-2016);;;;4;
